Hashtag,Final Code,,
मोदी_की_लंका_किसान_का_डंका,I,,
FarmersWithGoldenHutDhaba,M,,
खेती_कानून_किसानों_की_लूट,S,,
खट्टर_सरकार_किसानों_पर_अत्याचार,I,,
StayStrongFarmers,M,,
BJP_DefamingFarmers,G,,
ModiGovt_ExploitingFarmers,I,,
जुमला_नहीं_MSP_कानून_दो,S,,
BJP_RSS_AgainstFarmers,G,,
3MonthsOfDelhiProtest,E,,
6MonthsOfFarmersProtest,E,,
FarmersAboveReligiousHate,M,,
FarmersAppealLawsRepeal,S,,
FarmersFightUntilWin,M,,
FarmersMakeIndia,M,,
FarmersRoarInBengal,M,,
FarmersSupportTraders,M,,
FarmsAreNotStadiums,M,,
HistoricTractorMarch,E,,
JusticeForNavreet,S,,
KisanMazdoorEktaZindabaad,M,,
MazdoorKisanEktaDiwas,E,,
ModiGovt4AmbaniAdani,I,,
ModiRaidsProFarmers,I,,
NoRepealNoGharWapsi,M,,
PunishAntiFarmerBJP,G,,
WomenFarmersAgainstFarmlaws,M,,
आज_भारत_बंद_है,E,,
ਨਿਸਚੈ_ਕਰਿ_ਅਪੁਨੀ_ਜੀਤ_ਕਰੋ,M,,
,,,
,,,
TakeBack_FarmLaws,,,
किसान_का_हक_संसद_में_रख,,,
BJPPoliceAgainstFarmers,,,
मोदी_राज_किसान_बर्बाद,,,
StopSeditionAgainstFarmers,,,
ParliamentForFarmers,,,
MSP_चाहिए_काले_कानून_नहीं,,,
FarmersProtest_AtParliament,,,
ModiAgainstFarmers,,,
कृषि_कानून_रद्द_करो,,,
WhyModiFoolingFarmers,,,
मंत्री_नहीं_खेती_क़ानून_हटाओ,,,
पेट्रोल_डीजल_का_डकैत_मोदी,,,
KhattarCrushing_KhoriGaon,,,
RepealLaws_SaveFarmers,,,
किसान_संसद_कूच_करेगा,,,
जीतेगा_तो_किसान_ही,,,
भाजपा_किसान_की_दुश्मन,,,
मोदी_ही_डकैत_है,,,
BJPAttackedFarmers,,,
